LOCALITY_PID,LOCALITY_NAME,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,80003,Kurrajong,1,Good,Good,0
ACT102,DICKSON,80003,Kurrajong,1,Good,Good,0
ACT103,O'CONNOR,80003,Kurrajong,1,Good,Good,0
ACT104,AINSLIE,80003,Kurrajong,1,Good,Good,0
ACT105,TURNER,80003,Kurrajong,1,Good,Good,0
ACT106,BRADDON,80003,Kurrajong,1,Good,Good,0
ACT107,ACTON,80003,Kurrajong,1,Good,Good,0
ACT108,CITY,80003,Kurrajong,1,Good,Good,0
ACT109,REID,80003,Kurrajong,1,Good,Good,0
ACT110,CAMPBELL,80003,Kurrajong,1,Good,Good,0
ACT122,RUSSELL,80003,Kurrajong,1,Good,Good,0
ACT124,DOWNER,80003,Kurrajong,1,Good,Good,0
ACT125,WATSON,80003,Kurrajong,1,Good,Good,0
ACT126,HACKETT,80003,Kurrajong,1,Good,Good,0
ACT211,PARKES,80003,Kurrajong,1,Good,Good,0
ACT212,YARRALUMLA,80003,Kurrajong,1.07E-05,Good,Good,1
ACT212,YARRALUMLA,80004,Murrumbidgee,0.9999893,Good,Good,0
ACT213,CAPITAL HILL,80003,Kurrajong,1,Good,Good,0
ACT214,BARTON,80003,Kurrajong,1,Good,Good,0
ACT215,DEAKIN,80004,Murrumbidgee,1,Good,Good,0
ACT216,FORREST,80003,Kurrajong,1,Good,Good,0
ACT217,KINGSTON,80003,Kurrajong,1,Good,Good,0
ACT218,NARRABUNDAH,80003,Kurrajong,1,Good,Good,0
ACT219,FYSHWICK,80003,Kurrajong,1,Good,Good,0
ACT220,GRIFFITH,80003,Kurrajong,1,Good,Good,0
ACT221,RED HILL,80003,Kurrajong,1,Good,Good,0
ACT251,PIALLIGO,80003,Kurrajong,1,Good,Good,0
ACT327,HUGHES,80004,Murrumbidgee,1,Good,Good,0
ACT328,CURTIN,80004,Murrumbidgee,1,Good,Good,0
ACT329,LYONS,80004,Murrumbidgee,1,Good,Good,0
ACT330,GARRAN,80004,Murrumbidgee,1,Good,Good,0
ACT331,PEARCE,80004,Murrumbidgee,1,Good,Good,0
ACT332,TORRENS,80004,Murrumbidgee,1,Good,Good,0
ACT333,MAWSON,80004,Murrumbidgee,1,Good,Good,0
ACT334,FARRER,80004,Murrumbidgee,1,Good,Good,0
ACT335,O'MALLEY,80004,Murrumbidgee,1,Good,Good,0
ACT336,ISAACS,80004,Murrumbidgee,1,Good,Good,0
ACT337,CHIFLEY,80004,Murrumbidgee,1,Good,Good,0
ACT338,PHILLIP,80004,Murrumbidgee,1,Good,Good,0
ACT441,WESTON,80004,Murrumbidgee,1,Good,Good,0
ACT442,WARAMANGA,80004,Murrumbidgee,1,Good,Good,0
ACT443,FISHER,80004,Murrumbidgee,1,Good,Good,0
ACT444,CHAPMAN,80004,Murrumbidgee,1,Good,Good,0
ACT445,RIVETT,80004,Murrumbidgee,1,Good,Good,0
ACT446,DUFFY,80004,Murrumbidgee,1,Good,Good,0
ACT447,HOLDER,80004,Murrumbidgee,1,Good,Good,0
ACT448,STIRLING,80004,Murrumbidgee,1,Good,Good,0
ACT552,GIRALANG,80005,Yerrabi,1,Good,Good,0
ACT553,KALEEN,80005,Yerrabi,1,Good,Good,0
ACT555,BRUCE,80002,Ginninderra,1,Good,Good,0
ACT556,ARANDA,80002,Ginninderra,1,Good,Good,0
ACT557,COOK,80002,Ginninderra,1,Good,Good,0
ACT558,MACQUARIE,80002,Ginninderra,1,Good,Good,0
ACT559,BELCONNEN,80002,Ginninderra,1,Good,Good,0
ACT560,FLOREY,80002,Ginninderra,1,Good,Good,0
ACT561,PAGE,80002,Ginninderra,1,Good,Good,0
ACT562,WEETANGERA,80002,Ginninderra,1,Good,Good,0
ACT563,HAWKER,80002,Ginninderra,1,Good,Good,0
ACT564,SCULLIN,80002,Ginninderra,1,Good,Good,0
ACT566,LATHAM,80002,Ginninderra,1,Good,Good,0
ACT567,HIGGINS,80002,Ginninderra,1,Good,Good,0
